FN,FP,TN,TP,sr
34.7,12.5,364.5,1.3,81
26.4,13.6,363.4,9.6,162
13.1,4.6,372.4,22.9,243
7.9,5.6,371.4,28.1,324
9.2,7.5,369.5,26.8,405
