FN,FP,TN,TP,sr
30.9,29.4,347.6,5.1,81
16.6,4.3,372.7,19.4,162
11.4,5.9,371.1,24.6,243
10.2,5.9,371.1,25.8,324
9.0,6.4,370.6,27.0,405
