FN,FP,TN,TP,sr
28.3,15.4,361.6,7.7,81
15.5,8.3,368.7,20.5,162
9.3,7.6,369.4,26.7,243
10.3,4.9,372.1,25.7,324
10.5,6.2,370.8,25.5,405
