FN,FP,MSE,TN,TP,sr
36.0,0.0,0.008392117989178858,377.0,0.0,81
22.9,6.9,0.005274394108987493,370.1,13.1,162
10.8,10.0,0.0021905962279915253,367.0,25.2,243
10.9,7.2,0.0015836508426876113,369.8,25.1,324
6.1,6.8,0.0020608154535467714,370.2,29.9,405
