FN,FP,MSE,TN,TP,sr
36.0,0.0,0.008637663355812635,377.0,0.0,81
31.0,3.4,0.004987724810610438,373.6,5.0,162
17.1,10.0,0.006489087552733276,367.0,18.9,243
8.7,6.2,0.002086574948970893,370.8,27.3,324
9.3,7.0,0.003657629234774023,370.0,26.7,405
